abbrev,Ortsteil,Adlershof,Altglienicke,Alt-Hohenschönhausen,Alt-Treptow,Baumschulenweg,Biesdorf,Blankenburg,Blankenfelde,Bohnsdorf,Borsigwalde,Britz,Buch,Buckow,Charlottenburg,Charlottenburg-Nord,Dahlem,Falkenberg,Falkenhagener Feld,Fennpfuhl,Französisch Buchholz,Friedenau,Friedrichsfelde,Friedrichshagen,Friedrichshain,Frohnau,Gatow,Gesundbrunnen,Gropiusstadt,Grünau,Grunewald,Hakenfelde,Halensee,Hansaviertel,Haselhorst,Heiligensee,Heinersdorf,Hellersdorf,Hermsdorf,Johannisthal,Karlshorst,Karow,Kaulsdorf,Kladow,Konradshöhe,Köpenick,Kreuzberg,Lankwitz,Lichtenberg,Lichtenrade,Lichterfelde,Lübars,Mahlsdorf,Malchow,Mariendorf,Marienfelde,Märkisches Viertel,Marzahn,Mitte,Moabit,Müggelheim,Neu-Hohenschönhausen,Neukölln,Niederschöneweide,Niederschönhausen,Nikolassee,Oberschöneweide,Pankow,Plänterwald,Prenzlauer Berg,Rahnsdorf,Reinickendorf,Rosenthal,Rudow,Rummelsburg,Schmargendorf,Schmöckwitz,Schöneberg,Siemensstadt,Spandau,Staaken,Stadtrandsiedlung Malchow,Steglitz,Tegel,Tempelhof,Tiergarten,Waidmannslust,Wannsee,Wartenberg,Wedding,Weißensee,Westend,Wilhelmsruh,Wilhelmstadt,Wilmersdorf,Wittenau,Zehlendorf
Lübars,Lübars,0,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,9,0,1,2,0,0,1,0,3,1,0,1,0,1,0,7,0,0,0,0,0,1,0,0,0,0,0,5,0,0,6,0,0,3,0,0,0,0,2,4,0
Mahlsd,Mahlsdorf,1,0,3,3,1,9,0,0,0,0,1,0,1,3,0,0,0,0,2,3,0,12,1,12,0,0,1,0,0,2,1,1,0,0,0,0,35,2,0,9,0,14,1,0,13,5,0,7,1,0,0,NA,0,2,0,0,20,6,4,2,1,5,3,2,0,2,3,1,7,0,0,0,0,4,0,1,3,2,0,0,0,7,2,5,1,0,1,0,0,2,2,2,1,4,0,1
Malcho,Malchow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Marie1,Mariendorf,1,1,0,0,1,0,0,0,2,0,29,1,19,18,1,1,0,1,0,0,1,0,0,0,1,0,9,5,0,1,1,0,2,0,0,0,3,9,1,1,0,1,1,0,1,36,21,0,35,23,0,0,0,NA,21,2,1,6,11,0,0,41,0,0,0,1,3,1,3,0,6,1,7,0,2,1,30,1,1,3,0,28,2,88,8,2,6,0,4,0,4,0,4,12,0,10
Marie2,Marienfelde,0,0,0,0,1,0,0,0,1,0,6,0,14,2,1,2,0,4,0,0,4,0,0,1,1,0,3,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,26,0,27,22,0,0,0,26,NA,0,0,13,1,0,0,6,0,0,0,0,0,0,0,0,0,0,4,1,2,0,7,1,1,0,0,18,0,10,0,0,1,0,1,0,2,0,2,7,2,6
Märkis,Märkisches Viertel,0,0,0,0,1,0,0,0,0,2,1,1,2,5,1,0,0,2,0,6,0,0,0,1,2,0,15,2,0,0,3,1,1,0,3,0,2,2,0,0,0,1,0,2,0,2,0,0,4,0,2,1,0,3,1,NA,1,4,2,0,0,4,0,1,0,0,3,0,1,0,33,1,0,0,2,0,6,3,1,0,0,1,11,4,1,10,0,0,23,0,1,0,2,1,19,3
Marzah,Marzahn,0,1,15,3,5,39,0,0,2,1,1,1,0,2,0,0,0,1,8,0,0,16,1,23,0,0,2,1,0,0,1,1,0,0,0,0,27,0,0,6,1,7,0,0,4,3,4,7,0,3,0,3,0,2,0,4,NA,10,1,1,13,4,1,1,0,3,6,1,22,0,2,0,2,7,0,0,3,0,4,0,0,2,1,1,2,0,0,0,4,12,4,0,3,0,1,0
Mitte,Mitte,3,0,5,1,3,5,0,1,0,0,2,3,1,40,2,1,0,7,3,11,4,6,1,39,1,2,11,0,3,6,1,0,3,0,0,4,20,3,1,3,3,2,2,0,9,69,2,11,7,10,2,2,0,3,2,2,15,NA,32,1,2,28,3,16,6,6,15,4,123,3,5,6,8,7,2,1,29,0,12,7,0,30,3,15,3,1,6,0,17,19,12,6,19,18,9,6
Moabit,Moabit,4,0,0,2,1,4,0,0,0,0,1,0,1,59,2,0,0,0,0,2,7,0,0,9,4,0,9,0,0,1,3,2,22,0,0,0,4,6,0,1,1,0,0,0,5,24,6,1,1,6,0,3,0,2,2,0,2,19,NA,0,4,14,0,3,2,0,6,0,14,0,12,2,1,0,0,0,32,0,2,1,0,9,5,2,9,2,2,0,15,1,4,2,4,16,0,3
Müggel,Müggelheim,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,1,0,49,0,NA,1,4,0,0,0,1,0,1,2,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,1
