abbrev,Ortsteil,Adlershof,Altglienicke,Alt-Hohenschönhausen,Alt-Treptow,Baumschulenweg,Biesdorf,Blankenburg,Blankenfelde,Bohnsdorf,Borsigwalde,Britz,Buch,Buckow,Charlottenburg,Charlottenburg-Nord,Dahlem,Falkenberg,Falkenhagener Feld,Fennpfuhl,Französisch Buchholz,Friedenau,Friedrichsfelde,Friedrichshagen,Friedrichshain,Frohnau,Gatow,Gesundbrunnen,Gropiusstadt,Grünau,Grunewald,Hakenfelde,Halensee,Hansaviertel,Haselhorst,Heiligensee,Heinersdorf,Hellersdorf,Hermsdorf,Johannisthal,Karlshorst,Karow,Kaulsdorf,Kladow,Konradshöhe,Köpenick,Kreuzberg,Lankwitz,Lichtenberg,Lichtenrade,Lichterfelde,Lübars,Mahlsdorf,Malchow,Mariendorf,Marienfelde,Märkisches Viertel,Marzahn,Mitte,Moabit,Müggelheim,Neu-Hohenschönhausen,Neukölln,Niederschöneweide,Niederschönhausen,Nikolassee,Oberschöneweide,Pankow,Plänterwald,Prenzlauer Berg,Rahnsdorf,Reinickendorf,Rosenthal,Rudow,Rummelsburg,Schmargendorf,Schmöckwitz,Schöneberg,Siemensstadt,Spandau,Staaken,Stadtrandsiedlung Malchow,Steglitz,Tegel,Tempelhof,Tiergarten,Waidmannslust,Wannsee,Wartenberg,Wedding,Weißensee,Westend,Wilhelmsruh,Wilhelmstadt,Wilmersdorf,Wittenau,Zehlendorf,sum_imm,sum_emm,sum_intern
Kreuzb,Kreuzberg,7,2,2,16,3,11,3,0,8,0,37,0,16,52,4,11,2,1,1,5,17,2,4,48,6,0,7,13,1,3,2,3,2,1,4,0,14,3,4,4,2,1,4,1,3,NA,14,1,28,26,0,5,1,36,11,2,3,69,24,0,0,150,0,13,9,3,6,6,42,2,7,7,14,5,5,0,94,2,9,1,0,28,8,72,5,3,7,0,16,10,14,0,19,55,4,44,595,1210,899
Lankwi,Lankwitz,0,1,1,0,0,2,2,0,2,1,3,0,9,2,1,0,0,1,0,1,2,0,0,7,2,0,1,1,0,2,2,1,0,0,0,0,0,3,0,0,0,0,0,1,7,7,NA,0,22,69,0,0,0,21,26,0,4,2,6,0,1,4,0,2,6,3,8,0,0,0,3,1,4,0,1,0,14,1,5,1,0,32,0,13,1,0,2,0,1,1,9,0,2,14,0,11,494,352,349
Licht1,Lichtenberg,0,1,8,0,0,8,0,0,0,0,1,0,2,2,2,2,0,0,20,0,1,10,1,6,0,0,0,0,2,0,0,0,0,0,1,1,3,0,2,7,1,5,0,0,2,1,1,NA,1,0,0,7,0,0,0,0,7,11,1,0,2,2,1,6,2,2,5,1,11,0,2,1,0,8,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,6,0,3,0,3,0,0,169,178,115
Licht2,Lichtenrade,0,0,2,0,0,5,0,0,0,0,6,0,34,4,0,2,0,0,3,0,8,5,1,5,0,0,1,8,0,1,2,1,1,3,4,0,0,0,3,1,2,0,2,1,3,9,17,0,NA,15,0,1,0,35,27,4,0,7,1,0,1,9,1,0,1,2,0,0,5,0,2,1,8,0,5,0,10,0,4,2,0,23,7,12,0,0,1,0,8,0,9,0,1,16,0,12,478,364,514
Licht3,Lichterfelde,0,1,0,1,0,1,0,0,5,0,8,1,7,27,1,27,0,4,0,4,13,1,2,2,3,0,4,3,3,10,0,1,4,5,3,0,1,3,0,1,0,2,3,1,2,15,77,2,29,NA,1,0,0,23,22,0,3,10,6,0,0,7,0,3,27,6,2,1,11,2,12,0,6,3,10,0,34,4,7,3,0,73,3,9,6,0,16,0,5,4,7,2,13,39,1,116,916,774,774
Lübars,Lübars,0,0,0,0,0,0,0,11,0,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,4,0,6,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0,1,0,0,8,0,0,7,1,0,0,0,0,0,1,0,3,0,59,64,25
Mahlsd,Mahlsdorf,0,1,1,1,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,4,6,5,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,2,0,5,5,0,11,1,2,0,0,3,0,NA,0,0,0,1,3,2,3,1,2,0,1,2,0,0,6,0,4,1,0,0,2,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,4,1,4,0,0,1,0,1,240,112,131
Malcho,Malchow,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5
Marie1,Mariendorf,2,1,0,0,1,0,0,0,0,1,15,0,15,8,0,0,0,8,0,0,4,0,0,0,1,0,1,6,0,1,1,2,0,2,4,0,5,3,1,0,0,0,1,0,4,8,20,4,49,18,0,2,0,NA,26,3,2,3,2,1,0,9,1,2,2,2,1,1,3,0,2,1,8,0,2,0,18,0,1,3,0,17,1,48,0,1,5,0,0,2,7,0,2,6,0,11,537,381,299
Marie2,Marienfelde,0,1,0,1,0,3,1,0,1,0,9,0,10,5,0,2,0,0,0,0,2,0,1,1,2,0,3,9,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,18,0,34,32,0,0,0,21,NA,1,0,2,2,0,1,1,0,1,0,0,2,0,0,0,1,0,4,0,2,0,5,0,2,0,0,7,0,10,0,0,0,0,0,0,1,1,0,3,0,3,244,211,182
Märkis,Märkisches Viertel,0,0,1,0,0,0,0,0,0,6,1,0,3,3,1,0,0,2,0,3,1,1,4,0,5,0,2,2,0,2,1,0,0,4,6,0,0,4,0,0,3,0,2,2,2,0,4,0,5,0,9,0,0,2,0,NA,4,2,0,1,1,1,0,7,0,0,5,0,0,0,30,6,5,0,0,0,1,1,1,5,0,0,19,3,0,8,0,0,10,1,0,2,2,4,29,2,207,231,274
Marzah,Marzahn,0,1,19,2,0,37,1,0,4,0,0,2,0,1,0,0,0,0,7,0,2,22,4,19,0,0,1,0,1,0,0,2,0,0,0,0,34,0,2,5,0,10,0,0,18,0,2,9,2,2,0,20,0,1,0,1,NA,15,2,0,9,0,1,0,0,1,13,2,6,3,0,0,2,6,0,2,3,0,3,1,1,1,1,0,0,0,0,0,0,4,4,1,0,5,2,0,306,319,417
Mitte,Mitte,5,7,6,1,7,13,3,0,7,1,3,1,10,29,0,7,2,4,10,28,5,10,7,68,2,2,38,2,7,3,3,3,3,2,2,0,14,4,17,4,11,4,1,1,63,46,8,6,15,10,1,6,0,6,13,4,10,NA,19,49,11,22,0,28,4,3,29,1,145,20,14,10,26,8,2,9,20,0,6,35,0,41,5,1,8,2,7,2,12,21,4,4,4,23,12,5,817,1157,638
Moabit,Moabit,2,0,3,3,1,3,1,0,0,2,7,0,2,55,15,3,0,1,0,3,11,2,1,14,7,1,16,4,1,2,8,3,34,4,3,1,0,8,5,0,0,3,2,0,7,22,7,0,10,23,2,4,0,11,1,2,1,32,NA,0,7,14,0,15,8,2,8,2,30,5,35,5,1,0,7,0,30,3,8,8,0,18,10,9,9,2,3,0,23,2,15,0,6,37,5,17,383,697,395
Müggel,Müggelheim,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,95,19,43
Neu-Ho,Neu-Hohenschönhausen,1,0,27,0,2,2,0,0,0,0,0,1,3,1,0,1,2,0,3,2,0,6,1,8,0,1,11,0,0,3,0,2,0,0,0,1,6,0,0,3,5,5,0,0,5,2,0,5,0,1,0,1,0,0,0,0,13,2,4,1,NA,2,0,4,0,1,3,0,12,2,1,0,0,1,4,0,1,0,1,0,1,4,0,0,0,0,0,7,1,19,0,1,0,1,0,1,181,198,236
Neuköl,Neukölln,6,10,6,8,10,6,2,0,6,2,83,0,44,31,7,1,0,0,2,4,11,9,6,52,2,0,10,56,1,3,2,2,1,4,3,0,10,4,11,4,0,0,4,1,9,98,22,6,31,26,1,5,0,41,6,4,4,28,14,4,2,NA,13,3,3,16,4,2,22,4,18,1,60,4,6,0,51,2,3,4,0,28,6,44,5,3,3,0,14,3,7,0,6,49,3,21,559,1133,628
Niede1,Niederschöneweide,5,2,0,0,1,0,0,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,1,0,0,4,0,0,0,1,2,0,3,0,0,0,0,1,3,0,0,0,1,NA,0,0,2,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,55,63,29
